#Temperature [K]	Resistivity [Î©m]
298.15	8.2739E-7
322.9909	8.4012E-7
347.8318	8.5372E-7
372.6727	8.6819E-7
397.5136	8.8355E-7
422.3545	8.9979E-7
447.1954	9.1692E-7
472.0364	9.3493E-7
496.8773	9.5382E-7
521.7182	9.7361E-7
546.5591	9.9429E-7
571.4	1.01585E-6
596.2409	1.03831E-6
621.0818	1.06166E-6
645.9227	1.08591E-6
670.7636	1.11105E-6
695.6045	1.13709E-6
720.4454	1.16402E-6
745.2863	1.19184E-6
770.1272	1.22056E-6
794.9682	1.25018E-6
819.8091	1.2807E-6
844.65	1.31211E-6
869.4909	1.34441E-6
894.3318	1.37762E-6
919.1727	1.41172E-6
944.0136	1.44672E-6
968.8545	1.48262E-6
993.6954	1.51941E-6
1018.5363	1.55711E-6
1043.3772	1.5957E-6
1060.3199	1.62263E-6
1065.3199	1.62994E-6
1070.3199	1.63603E-6
1075.3199	1.64084E-6
1075.836	1.64126E-6
1093.059	1.65499E-6
1117.9	1.66539E-6
1142.7409	1.67582E-6
1167.5818	1.68627E-6
1192.4227	1.69674E-6
1217.2636	1.70724E-6
1242.1045	1.71775E-6
1266.9454	1.7283E-6
1291.7863	1.73886E-6
1316.6272	1.74945E-6
1341.4681	1.76007E-6
1366.309	1.77071E-6
1391.1499	1.78137E-6
1415.9908	1.79206E-6
1440.8318	1.80277E-6
1465.6727	1.81351E-6
1490.5136	1.82428E-6
1515.3545	1.83507E-6
1540.1954	1.84589E-6
1657.4548	1.89319E-6
1662.4548	1.89513E-6
1667.4548	1.89656E-6
1669.6796	1.89689E-6
1670.6452	1.89697E-6
1671.6452	1.89702E-6
1672.6452	1.89705E-6
1673.6452	1.89704E-6
1674.6452	1.897E-6
1675.6452	1.89691E-6
1676.6452	1.89679E-6
1677.6452	1.89662E-6
1678.6452	1.8964E-6
1679.6452	1.89612E-6
1680.6452	1.89579E-6
1681.6452	1.8954E-6
1682.6452	1.89493E-6
1683.6452	1.8944E-6
1684.6452	1.89378E-6
1685.6452	1.89308E-6
1686.6452	1.89228E-6
1687.6452	1.89137E-6
1688.6452	1.89035E-6
1689.6452	1.88921E-6
1690.6452	1.88793E-6
1691.6452	1.8865E-6
1692.6452	1.8849E-6
1693.6452	1.88311E-6
1694.6452	1.88112E-6
1695.6452	1.8789E-6
1696.6452	1.87643E-6
1697.6452	1.87368E-6
1698.6452	1.87061E-6
1699.6452	1.86718E-6
1700.6452	1.86335E-6
1705.6452	1.83979E-6
1710.6452	1.80952E-6
1715.6452	1.77499E-6
1720.6452	1.73866E-6
1725.6452	1.70301E-6
1730.6452	1.67048E-6
1735.6452	1.64354E-6
1740.6452	1.62465E-6
1745.6452	1.61628E-6
1746.79	1.6161E-6
1750.0	1.61681E-6
1800.0	1.6279E-6
1850.0	1.63893E-6
1900.0	1.6499E-6
1950.0	1.6608E-6
2000.0	1.67164E-6
2050.0	1.68241E-6
2100.0	1.69311E-6
2150.0	1.70375E-6
2200.0	1.71432E-6
2250.0	1.72482E-6
2300.0	1.73525E-6
2350.0	1.74561E-6
2400.0	1.75591E-6
2450.0	1.76613E-6
2500.0	1.77628E-6
2550.0	1.78635E-6
2600.0	1.79636E-6
2650.0	1.80629E-6
2700.0	1.81615E-6
2750.0	1.82593E-6
2800.0	1.83564E-6
2850.0	1.84528E-6
2900.0	1.85484E-6
2950.0	1.86432E-6
3000.0	1.87373E-6
3050.0	1.88307E-6
3100.0	1.89232E-6
3150.0	1.90151E-6
3200.0	1.91061E-6
3250.0	1.91964E-6
3300.0	1.92858E-6
3350.0	1.93746E-6
3400.0	1.94625E-6
3450.0	1.95496E-6
3500.0	1.9636E-6
3550.0	1.97215E-6
3600.0	1.98063E-6
3650.0	1.98903E-6
3700.0	1.99735E-6
3750.0	2.00559E-6
3800.0	2.01375E-6
3850.0	2.02182E-6
3900.0	2.02982E-6
3950.0	2.03774E-6
4000.0	2.04557E-6
4050.0	2.05333E-6
4100.0	2.061E-6
4150.0	2.06859E-6
4200.0	2.0761E-6
4250.0	2.08353E-6
4300.0	2.09088E-6
4350.0	2.09814E-6
4400.0	2.10532E-6
4450.0	2.11242E-6
4500.0	2.11944E-6
4550.0	2.12637E-6
4600.0	2.13322E-6
4650.0	2.13999E-6
4700.0	2.14667E-6
4750.0	2.15327E-6
4800.0	2.15979E-6
4850.0	2.16622E-6
4900.0	2.17257E-6
4950.0	2.17884E-6
5000.0	2.18502E-6
