#Temperature [K]	Density of the system [kg/mÂ³]
298.15	7903.9747
322.9909	7895.8813
347.8318	7887.6521
372.6727	7879.3122
397.5136	7870.8801
422.3545	7862.3695
447.1954	7853.791
472.0364	7845.1527
496.8773	7836.4608
521.7182	7827.7202
546.5591	7818.9347
571.4	7810.1072
596.2409	7801.2399
621.0818	7792.3347
645.9227	7783.3929
670.7636	7774.4153
695.6045	7765.4028
720.4454	7756.3557
745.2863	7747.2742
770.1272	7738.1586
794.9682	7729.0087
819.8091	7719.8244
844.65	7710.6055
869.4909	7701.3515
894.3318	7692.0621
919.1727	7682.7369
944.0136	7673.3753
968.8545	7663.9767
993.6954	7654.5406
1018.5363	7645.0664
1043.3772	7635.5533
1068.2181	7626.0006
1093.059	7616.4078
1117.9	7606.7741
1142.7409	7597.0987
1167.5818	7587.3809
1192.4227	7577.62
1217.2636	7567.8151
1242.1045	7557.9655
1266.9454	7548.0705
1291.7863	7538.1292
1316.6272	7528.1409
1341.4681	7518.1048
1366.309	7508.02
1391.1499	7497.8858
1415.9908	7487.7015
1440.8318	7477.4661
1465.6727	7467.179
1490.5136	7456.8393
1515.3545	7446.4462
1540.1954	7435.9989
1657.4548	7383.1562
1662.4548	7380.8134
1667.4548	7377.9157
1669.6796	7376.301
1670.6452	7375.5377
1671.6452	7374.7183
1672.6452	7373.8679
1673.6452	7372.9844
1674.6452	7372.065
1675.6452	7371.1072
1676.6452	7370.1081
1677.6452	7369.0644
1678.6452	7367.9729
1679.6452	7366.8298
1680.6452	7365.6312
1681.6452	7364.3727
1682.6452	7363.0496
1683.6452	7361.6569
1684.6452	7360.1889
1685.6452	7358.6395
1686.6452	7357.0019
1687.6452	7355.2689
1688.6452	7353.4322
1689.6452	7351.483
1690.6452	7349.4113
1691.6452	7347.2062
1692.6452	7344.8554
1693.6452	7342.3455
1694.6452	7339.6614
1695.6452	7336.7861
1696.6452	7333.7009
1697.6452	7330.3844
1698.6452	7326.8129
1699.6452	7322.9593
1700.6452	7318.7935
1705.6452	7295.51
1710.6452	7268.5684
1715.6452	7239.4684
1720.6452	7209.7099
1725.6452	7180.7926
1730.6452	7154.2164
1735.6452	7131.4813
1740.6452	7114.0888
1745.6452	7103.5415
1746.79	7102.2423
1750.0	7099.3915
1800.0	7055.1881
1850.0	7011.2598
1900.0	6967.6049
1950.0	6924.2216
2000.0	6881.1083
2050.0	6838.2634
2100.0	6795.6851
2150.0	6753.3717
2200.0	6711.3217
2250.0	6669.5334
2300.0	6628.0051
2350.0	6586.7353
2400.0	6545.7223
2450.0	6504.9646
2500.0	6464.4605
2550.0	6424.2085
2600.0	6384.2071
2650.0	6344.4545
2700.0	6304.9494
2750.0	6265.6901
2800.0	6226.6752
2850.0	6187.903
2900.0	6149.3722
2950.0	6111.0812
3000.0	6073.0285
3050.0	6035.2126
3100.0	5997.632
3150.0	5960.2854
3200.0	5923.1712
3250.0	5886.288
3300.0	5849.6343
3350.0	5813.2088
3400.0	5777.0099
3450.0	5741.0364
3500.0	5705.2868
3550.0	5669.7596
3600.0	5634.4536
3650.0	5599.3673
3700.0	5564.4994
3750.0	5529.8485
3800.0	5495.4133
3850.0	5461.1924
3900.0	5427.1845
3950.0	5393.3882
4000.0	5359.8023
4050.0	5326.4255
4100.0	5293.2564
4150.0	5260.2937
4200.0	5227.5362
4250.0	5194.9826
4300.0	5162.6316
4350.0	5130.482
4400.0	5098.5325
4450.0	5066.7818
4500.0	5035.2288
4550.0	5003.8721
4600.0	4972.7106
4650.0	4941.7431
4700.0	4910.9684
4750.0	4880.3851
4800.0	4849.9923
4850.0	4819.7886
4900.0	4789.7729
4950.0	4759.9441
5000.0	4730.3009
